
List of user-set options:

                                    Name   Value                used
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
                           linear_solver = mumps                 yes
                                max_iter = 800                   yes
                      nlp_scaling_method = user-scaling          yes
                             output_file = /Users/marcello/Documents/zhaw/BAZL/DRACONIAN/Dymos/gemini_traj_v5_out/IPOPT.out  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
This is Ipopt version 3.14.19, running with linear solver MUMPS 5.8.2.

Number of nonzeros in equality constraint Jacobian...:    72669
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      373
                     variables with only lower bounds:       50
                variables with lower and upper bounds:      178
                     variables with only upper bounds:        0
Total number of equality constraints.................:      297
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  9.9030000e-01 6.00e-01 4.10e-01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.0676522e+00 2.39e+01 9.99e+02   0.7 2.52e+01    -  2.18e-01 7.15e-01f  1
   2  1.2031122e+00 2.10e+01 7.53e+02   0.8 1.75e+01    -  2.20e-01 7.11e-01f  1
   3  1.5293388e+00 3.39e+00 6.56e+02   0.8 1.60e+01    -  8.27e-01 1.00e+00f  1
   4  1.8228911e+00 1.79e+00 4.88e+02   0.8 1.16e+01    -  5.45e-01 1.00e+00f  1
   5  2.0057400e+00 7.73e-01 6.10e+02   0.8 1.13e+01    -  9.78e-01 1.00e+00f  1
   6  1.9738646e+00 1.27e+00 6.01e+01   0.1 8.84e+00    -  9.99e-01 1.00e+00f  1
   7  2.1506022e+00 4.84e-01 1.47e+01  -0.7 5.41e+00    -  9.67e-01 1.00e+00h  1
   8  2.1038799e+00 1.99e-01 1.37e+00  -1.7 6.62e-01    -  9.97e-01 1.00e+00h  1
   9  1.6231436e+00 1.46e+00 6.83e-01  -2.1 4.72e+00    -  9.96e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.1753712e+00 3.40e+00 4.41e-01  -1.8 9.25e+00    -  1.00e+00 7.87e-01h  1
  11  1.2825829e+00 1.82e+00 4.77e-01  -1.9 3.67e+00    -  1.00e+00 1.00e+00h  1
